date,hospital_id,drug_name,inventory,demand
2024-01-01,Hosp_A,Paracetamol,152,61
2024-01-01,Hosp_A,Ibuprofen,142,24
2024-01-01,Hosp_A,Amoxicillin,156,81
2024-01-01,Hosp_A,Metformin,70,92
2024-01-01,Hosp_A,Atorvastatin,124,84
2024-01-02,Hosp_A,Paracetamol,100,64
2024-01-02,Hosp_A,Ibuprofen,113,12
2024-01-02,Hosp_A,Amoxicillin,100,16
2024-01-02,Hosp_A,Metformin,70,82
2024-01-02,Hosp_A,Atorvastatin,67,13
2024-01-03,Hosp_A,Paracetamol,103,13
2024-01-03,Hosp_A,Ibuprofen,103,72
2024-01-03,Hosp_A,Amoxicillin,195,99
2024-01-03,Hosp_A,Metformin,93,43
2024-01-03,Hosp_A,Atorvastatin,63,57
2024-01-04,Hosp_A,Paracetamol,112,20
2024-01-04,Hosp_A,Ibuprofen,130,17
2024-01-04,Hosp_A,Amoxicillin,82,14
2024-01-04,Hosp_A,Metformin,90,37
2024-01-04,Hosp_A,Atorvastatin,184,82
2024-01-05,Hosp_A,Paracetamol,186,88
2024-01-05,Hosp_A,Ibuprofen,64,99
2024-01-05,Hosp_A,Amoxicillin,91,86
2024-01-05,Hosp_A,Metformin,112,61
2024-01-05,Hosp_A,Atorvastatin,145,13
2024-01-06,Hosp_A,Paracetamol,124,98
2024-01-06,Hosp_A,Ibuprofen,178,36
2024-01-06,Hosp_A,Amoxicillin,170,86
2024-01-06,Hosp_A,Metformin,52,79
2024-01-06,Hosp_A,Atorvastatin,186,71
2024-01-07,Hosp_A,Paracetamol,136,10
2024-01-07,Hosp_A,Ibuprofen,196,11
2024-01-07,Hosp_A,Amoxicillin,102,53
2024-01-07,Hosp_A,Metformin,117,64
2024-01-07,Hosp_A,Atorvastatin,172,26
2024-01-08,Hosp_A,Paracetamol,145,80
2024-01-08,Hosp_A,Ibuprofen,101,42
2024-01-08,Hosp_A,Amoxicillin,177,48
2024-01-08,Hosp_A,Metformin,131,10
2024-01-08,Hosp_A,Atorvastatin,60,66
2024-01-09,Hosp_A,Paracetamol,103,42
2024-01-09,Hosp_A,Ibuprofen,165,84
2024-01-09,Hosp_A,Amoxicillin,162,81
2024-01-09,Hosp_A,Metformin,153,93
