date,hospital_id,drug_name,inventory,demand
2024-01-01,Hosp_A_General,Paracetamol,152,131
2024-01-01,Hosp_A_General,Ibuprofen,142,94
2024-01-01,Hosp_A_General,Amoxicillin,156,140
2024-01-01,Hosp_A_General,Metformin,70,26
2024-01-01,Hosp_A_General,Atorvastatin,171,38
2024-01-01,Hosp_A_General,Letrozole,264,30
2024-01-01,Hosp_A_General,Trastuzumab,252,43
2024-01-01,Hosp_A_General,Oseltamivir,166,8
2024-01-01,Hosp_A_General,Cough Syrup,153,12
2024-01-02,Hosp_A_General,Paracetamol,138,139
2024-01-02,Hosp_A_General,Ibuprofen,63,88
2024-01-02,Hosp_A_General,Amoxicillin,139,132
2024-01-02,Hosp_A_General,Metformin,179,39
2024-01-02,Hosp_A_General,Atorvastatin,141,34
2024-01-02,Hosp_A_General,Letrozole,237,26
2024-01-02,Hosp_A_General,Trastuzumab,221,48
2024-01-02,Hosp_A_General,Oseltamivir,57,19
2024-01-02,Hosp_A_General,Cough Syrup,84,18
2024-01-03,Hosp_A_General,Paracetamol,138,88
2024-01-03,Hosp_A_General,Ibuprofen,137,80
2024-01-03,Hosp_A_General,Amoxicillin,285,87
2024-01-03,Hosp_A_General,Metformin,265,30
2024-01-03,Hosp_A_General,Atorvastatin,292,36
2024-01-03,Hosp_A_General,Letrozole,185,22
2024-01-03,Hosp_A_General,Trastuzumab,212,20
2024-01-03,Hosp_A_General,Oseltamivir,172,9
2024-01-03,Hosp_A_General,Cough Syrup,283,11
2024-01-04,Hosp_A_General,Paracetamol,280,131
2024-01-04,Hosp_A_General,Ibuprofen,145,83
2024-01-04,Hosp_A_General,Amoxicillin,271,102
2024-01-04,Hosp_A_General,Metformin,280,32
2024-01-04,Hosp_A_General,Atorvastatin,192,30
2024-01-04,Hosp_A_General,Letrozole,78,23
2024-01-04,Hosp_A_General,Trastuzumab,62,26
2024-01-04,Hosp_A_General,Oseltamivir,236,7
2024-01-04,Hosp_A_General,Cough Syrup,135,16
2024-01-05,Hosp_A_General,Paracetamol,145,131
2024-01-05,Hosp_A_General,Ibuprofen,162,141
2024-01-05,Hosp_A_General,Amoxicillin,290,137
2024-01-05,Hosp_A_General,Metformin,101,31
2024-01-05,Hosp_A_General,Atorvastatin,88,21
2024-01-05,Hosp_A_General,Letrozole,180,36
2024-01-05,Hosp_A_General,Trastuzumab,150,36
2024-01-05,Hosp_A_General,Oseltamivir,233,5
2024-01-05,Hosp_A_General,Cough Syrup,236,5
2024-01-06,Hosp_A_General,Paracetamol,52,99
2024-01-06,Hosp_A_General,Ibuprofen,236,115
2024-01-06,Hosp_A_General,Amoxicillin,196,146
2024-01-06,Hosp_A_General,Metformin,196,39
2024-01-06,Hosp_A_General,Atorvastatin,145,26
2024-01-06,Hosp_A_General,Letrozole,101,28
2024-01-06,Hosp_A_General,Trastuzumab,210,27
2024-01-06,Hosp_A_General,Oseltamivir,177,11
2024-01-06,Hosp_A_General,Cough Syrup,131,12
2024-01-07,Hosp_A_General,Paracetamol,133,104
2024-01-07,Hosp_A_General,Ibuprofen,142,97
2024-01-07,Hosp_A_General,Amoxicillin,177,145
2024-01-07,Hosp_A_General,Metformin,103,22
2024-01-07,Hosp_A_General,Atorvastatin,257,48
2024-01-07,Hosp_A_General,Letrozole,218,23
2024-01-07,Hosp_A_General,Trastuzumab,210,23
2024-01-07,Hosp_A_General,Oseltamivir,82,18
2024-01-07,Hosp_A_General,Cough Syrup,70,8
2024-01-08,Hosp_A_General,Paracetamol,207,125
2024-01-08,Hosp_A_General,Ibuprofen,166,85
2024-01-08,Hosp_A_General,Amoxicillin,148,116
2024-01-08,Hosp_A_General,Metformin,73,48
2024-01-08,Hosp_A_General,Atorvastatin,290,33
2024-01-08,Hosp_A_General,Letrozole,230,22
2024-01-08,Hosp_A_General,Trastuzumab,237,20
2024-01-08,Hosp_A_General,Oseltamivir,165,19
2024-01-08,Hosp_A_General,Cough Syrup,262,11
2024-01-09,Hosp_A_General,Paracetamol,106,115
2024-01-09,Hosp_A_General,Ibuprofen,222,99
2024-01-09,Hosp_A_General,Amoxicillin,114,87
2024-01-09,Hosp_A_General,Metformin,287,35
2024-01-09,Hosp_A_General,Atorvastatin,191,31
2024-01-09,Hosp_A_General,Letrozole,164,42
2024-01-09,Hosp_A_General,Trastuzumab,192,47
2024-01-09,Hosp_A_General,Oseltamivir,147,6
2024-01-09,Hosp_A_General,Cough Syrup,81,11
2024-01-10,Hosp_A_General,Paracetamol,196,96
2024-01-10,Hosp_A_General,Ibuprofen,169,142
2024-01-10,Hosp_A_General,Amoxicillin,68,137
2024-01-10,Hosp_A_General,Metformin,232,45
2024-01-10,Hosp_A_General,Atorvastatin,278,45
2024-01-10,Hosp_A_General,Letrozole,166,49
2024-01-10,Hosp_A_General,Trastuzumab,72,28
2024-01-10,Hosp_A_General,Oseltamivir,189,9
2024-01-10,Hosp_A_General,Cough Syrup,178,14
2024-01-11,Hosp_A_General,Paracetamol,267,127
2024-01-11,Hosp_A_General,Ibuprofen,134,118
2024-01-11,Hosp_A_General,Amoxicillin,149,112
2024-01-11,Hosp_A_General,Metformin,271,24
2024-01-11,Hosp_A_General,Atorvastatin,72,45
2024-01-11,Hosp_A_General,Letrozole,59,41
2024-01-11,Hosp_A_General,Trastuzumab,118,23
2024-01-11,Hosp_A_General,Oseltamivir,83,8
2024-01-11,Hosp_A_General,Cough Syrup,272,14
2024-01-12,Hosp_A_General,Paracetamol,95,81
2024-01-12,Hosp_A_General,Ibuprofen,292,114
2024-01-12,Hosp_A_General,Amoxicillin,264,87
2024-01-12,Hosp_A_General,Metformin,142,45
2024-01-12,Hosp_A_General,Atorvastatin,251,45
2024-01-12,Hosp_A_General,Letrozole,211,38
2024-01-12,Hosp_A_General,Trastuzumab,154,26
2024-01-12,Hosp_A_General,Oseltamivir,245,14
2024-01-12,Hosp_A_General,Cough Syrup,294,6
2024-01-13,Hosp_A_General,Paracetamol,236,98
2024-01-13,Hosp_A_General,Ibuprofen,226,91
2024-01-13,Hosp_A_General,Amoxicillin,238,98
2024-01-13,Hosp_A_General,Metformin,125,28
2024-01-13,Hosp_A_General,Atorvastatin,248,47
2024-01-13,Hosp_A_General,Letrozole,255,39
2024-01-13,Hosp_A_General,Trastuzumab,132,45
2024-01-13,Hosp_A_General,Oseltamivir,160,9
2024-01-13,Hosp_A_General,Cough Syrup,118,7
2024-01-14,Hosp_A_General,Paracetamol,171,145
2024-01-14,Hosp_A_General,Ibuprofen,54,108
2024-01-14,Hosp_A_General,Amoxicillin,214,117
2024-01-14,Hosp_A_General,Metformin,132,27
2024-01-14,Hosp_A_General,Atorvastatin,289,32
2024-01-14,Hosp_A_General,Letrozole,114,41
2024-01-14,Hosp_A_General,Trastuzumab,293,36
2024-01-14,Hosp_A_General,Oseltamivir,120,13
2024-01-14,Hosp_A_General,Cough Syrup,94,8
2024-01-15,Hosp_A_General,Paracetamol,107,123
2024-01-15,Hosp_A_General,Ibuprofen,222,111
2024-01-15,Hosp_A_General,Amoxicillin,222,140
2024-01-15,Hosp_A_General,Metformin,96,40
2024-01-15,Hosp_A_General,Atorvastatin,129,41
2024-01-15,Hosp_A_General,Letrozole,262,30
2024-01-15,Hosp_A_General,Trastuzumab,278,23
2024-01-15,Hosp_A_General,Oseltamivir,276,7
2024-01-15,Hosp_A_General,Cough Syrup,69,13
2024-01-16,Hosp_A_General,Paracetamol,250,112
2024-01-16,Hosp_A_General,Ibuprofen,294,108
2024-01-16,Hosp_A_General,Amoxicillin,190,125
2024-01-16,Hosp_A_General,Metformin,84,48
2024-01-16,Hosp_A_General,Atorvastatin,183,37
2024-01-16,Hosp_A_General,Letrozole,164,24
2024-01-16,Hosp_A_General,Trastuzumab,96,44
2024-01-16,Hosp_A_General,Oseltamivir,243,14
2024-01-16,Hosp_A_General,Cough Syrup,105,18
2024-01-17,Hosp_A_General,Paracetamol,251,96
2024-01-17,Hosp_A_General,Ibuprofen,134,80
2024-01-17,Hosp_A_General,Amoxicillin,100,124
2024-01-17,Hosp_A_General,Metformin,254,23
2024-01-17,Hosp_A_General,Atorvastatin,239,20
2024-01-17,Hosp_A_General,Letrozole,162,27
2024-01-17,Hosp_A_General,Trastuzumab,81,21
2024-01-17,Hosp_A_General,Oseltamivir,141,19
2024-01-17,Hosp_A_General,Cough Syrup,121,11
2024-01-18,Hosp_A_General,Paracetamol,274,109
2024-01-18,Hosp_A_General,Ibuprofen,296,130
2024-01-18,Hosp_A_General,Amoxicillin,130,84
2024-01-18,Hosp_A_General,Metformin,78,23
2024-01-18,Hosp_A_General,Atorvastatin,187,43
2024-01-18,Hosp_A_General,Letrozole,194,29
2024-01-18,Hosp_A_General,Trastuzumab,66,47
2024-01-18,Hosp_A_General,Oseltamivir,133,12
2024-01-18,Hosp_A_General,Cough Syrup,118,6
2024-01-19,Hosp_A_General,Paracetamol,139,125
2024-01-19,Hosp_A_General,Ibuprofen,83,128
2024-01-19,Hosp_A_General,Amoxicillin,127,124
2024-01-19,Hosp_A_General,Metformin,204,28
2024-01-19,Hosp_A_General,Atorvastatin,75,44
2024-01-19,Hosp_A_General,Letrozole,96,44
2024-01-19,Hosp_A_General,Trastuzumab,263,34
2024-01-19,Hosp_A_General,Oseltamivir,105,18
2024-01-19,Hosp_A_General,Cough Syrup,156,19
2024-01-20,Hosp_A_General,Paracetamol,241,107
2024-01-20,Hosp_A_General,Ibuprofen,251,118
2024-01-20,Hosp_A_General,Amoxicillin,234,96
2024-01-20,Hosp_A_General,Metformin,280,41
2024-01-20,Hosp_A_General,Atorvastatin,267,49
2024-01-20,Hosp_A_General,Letrozole,93,44
2024-01-20,Hosp_A_General,Trastuzumab,194,32
2024-01-20,Hosp_A_General,Oseltamivir,261,13
2024-01-20,Hosp_A_General,Cough Syrup,117,14
2024-01-21,Hosp_A_General,Paracetamol,104,88
2024-01-21,Hosp_A_General,Ibuprofen,296,82
2024-01-21,Hosp_A_General,Amoxicillin,292,110
2024-01-21,Hosp_A_General,Metformin,89,24
2024-01-21,Hosp_A_General,Atorvastatin,85,43
2024-01-21,Hosp_A_General,Letrozole,272,25
2024-01-21,Hosp_A_General,Trastuzumab,115,39
2024-01-21,Hosp_A_General,Oseltamivir,269,15
2024-01-21,Hosp_A_General,Cough Syrup,53,19
2024-01-22,Hosp_A_General,Paracetamol,210,85
2024-01-22,Hosp_A_General,Ibuprofen,227,89
2024-01-22,Hosp_A_General,Amoxicillin,54,102
2024-01-22,Hosp_A_General,Metformin,187,31
2024-01-22,Hosp_A_General,Atorvastatin,179,32
2024-01-22,Hosp_A_General,Letrozole,217,21
2024-01-22,Hosp_A_General,Trastuzumab,133,20
2024-01-22,Hosp_A_General,Oseltamivir,112,9
2024-01-22,Hosp_A_General,Cough Syrup,122,5
2024-01-23,Hosp_A_General,Paracetamol,195,119
2024-01-23,Hosp_A_General,Ibuprofen,121,118
2024-01-23,Hosp_A_General,Amoxicillin,153,93
