date,hospital_id,drug_name,inventory,demand
2024-01-01,Hosp_B,Paracetamol,137,33
2024-01-01,Hosp_B,Ibuprofen,180,31
2024-01-01,Hosp_B,Amoxicillin,102,11
2024-01-01,Hosp_B,Metformin,137,39
2024-01-01,Hosp_B,Atorvastatin,87,11
2024-01-02,Hosp_B,Paracetamol,138,69
2024-01-02,Hosp_B,Ibuprofen,63,18
2024-01-02,Hosp_B,Amoxicillin,139,62
2024-01-02,Hosp_B,Metformin,179,93
2024-01-02,Hosp_B,Atorvastatin,141,69
2024-01-03,Hosp_B,Paracetamol,64,81
2024-01-03,Hosp_B,Ibuprofen,89,94
2024-01-03,Hosp_B,Amoxicillin,131,62
2024-01-03,Hosp_B,Metformin,73,35
2024-01-03,Hosp_B,Atorvastatin,173,50
2024-01-04,Hosp_B,Paracetamol,121,21
2024-01-04,Hosp_B,Ibuprofen,82,57
2024-01-04,Hosp_B,Amoxicillin,111,97
2024-01-04,Hosp_B,Metformin,86,53
2024-01-04,Hosp_B,Atorvastatin,153,95
2024-01-05,Hosp_B,Paracetamol,192,52
2024-01-05,Hosp_B,Ibuprofen,78,45
2024-01-05,Hosp_B,Amoxicillin,62,41
2024-01-05,Hosp_B,Metformin,120,68
2024-01-05,Hosp_B,Atorvastatin,135,37
2024-01-06,Hosp_B,Paracetamol,100,53
2024-01-06,Hosp_B,Ibuprofen,108,41
2024-01-06,Hosp_B,Amoxicillin,145,97
2024-01-06,Hosp_B,Metformin,162,71
2024-01-06,Hosp_B,Atorvastatin,101,21
2024-01-07,Hosp_B,Paracetamol,87,33
2024-01-07,Hosp_B,Ibuprofen,118,79
2024-01-07,Hosp_B,Amoxicillin,188,25
2024-01-07,Hosp_B,Metformin,146,82
2024-01-07,Hosp_B,Atorvastatin,173,68
2024-01-08,Hosp_B,Paracetamol,91,16
2024-01-08,Hosp_B,Ibuprofen,193,99
2024-01-08,Hosp_B,Amoxicillin,161,69
2024-01-08,Hosp_B,Metformin,162,11
2024-01-08,Hosp_B,Atorvastatin,178,57
2024-01-09,Hosp_B,Paracetamol,148,34
2024-01-09,Hosp_B,Ibuprofen,142,27
2024-01-09,Hosp_B,Amoxicillin,177,91
2024-01-09,Hosp_B,Metformin,103,44
2024-01-09,Hosp_B,Atorvastatin,117,42
2024-01-10,Hosp_B,Paracetamol,79,37
2024-01-10,Hosp_B,Ibuprofen,160,73
2024-01-10,Hosp_B,Amoxicillin,110,57
2024-01-10,Hosp_B,Metformin,196,13
2024-01-10,Hosp_B,Atorvastatin,84,73
2024-01-11,Hosp_B,Paracetamol,73,41
2024-01-11,Hosp_B,Ibuprofen,135,32
2024-01-11,Hosp_B,Amoxicillin,176,36
2024-01-11,Hosp_B,Metformin,179,99
2024-01-11,Hosp_B,Atorvastatin,66,42
2024-01-12,Hosp_B,Paracetamol,192,75
2024-01-12,Hosp_B,Ibuprofen,81,96
2024-01-12,Hosp_B,Amoxicillin,135,60
2024-01-12,Hosp_B,Metformin,112,71
2024-01-12,Hosp_B,Atorvastatin,174,31
2024-01-13,Hosp_B,Paracetamol,101,25
2024-01-13,Hosp_B,Ibuprofen,62,39
2024-01-13,Hosp_B,Amoxicillin,196,26
2024-01-13,Hosp_B,Metformin,169,72
2024-01-13,Hosp_B,Atorvastatin,68,67
2024-01-14,Hosp_B,Paracetamol,125,35
2024-01-14,Hosp_B,Ibuprofen,193,60
2024-01-14,Hosp_B,Amoxicillin,135,66
2024-01-14,Hosp_B,Metformin,78,87
2024-01-14,Hosp_B,Atorvastatin,118,56
2024-01-15,Hosp_B,Paracetamol,65,33
2024-01-15,Hosp_B,Ibuprofen,129,11
2024-01-15,Hosp_B,Amoxicillin,177,41
2024-01-15,Hosp_B,Metformin,133,33
2024-01-15,Hosp_B,Atorvastatin,189,59
2024-01-16,Hosp_B,Paracetamol,139,43
2024-01-16,Hosp_B,Ibuprofen,164,16
2024-01-16,Hosp_B,Amoxicillin,107,84
2024-01-16,Hosp_B,Metformin,169,45
2024-01-16,Hosp_B,Atorvastatin,70,45
2024-01-17,Hosp_B,Paracetamol,68,58
2024-01-17,Hosp_B,Ibuprofen,149,21
2024-01-17,Hosp_B,Amoxicillin,196,85
2024-01-17,Hosp_B,Metformin,58,80
2024-01-17,Hosp_B,Atorvastatin,77,87
2024-01-18,Hosp_B,Paracetamol,191,14
2024-01-18,Hosp_B,Ibuprofen,124,27
2024-01-18,Hosp_B,Amoxicillin,125,18
2024-01-18,Hosp_B,Metformin,123,67
2024-01-18,Hosp_B,Atorvastatin,194,16
2024-01-19,Hosp_B,Paracetamol,68,70
2024-01-19,Hosp_B,Ibuprofen,157,63
2024-01-19,Hosp_B,Amoxicillin,140,83
2024-01-19,Hosp_B,Metformin,139,28
2024-01-19,Hosp_B,Atorvastatin,88,76
2024-01-20,Hosp_B,Paracetamol,198,89
2024-01-20,Hosp_B,Ibuprofen,167,94
2024-01-20,Hosp_B,Amoxicillin,196,29
2024-01-20,Hosp_B,Metformin,195,56
2024-01-20,Hosp_B,Atorvastatin,98,23
2024-01-21,Hosp_B,Paracetamol,109,59
2024-01-21,Hosp_B,Ibuprofen,77,50
2024-01-21,Hosp_B,Amoxicillin,194,82
2024-01-21,Hosp_B,Metformin,190,55
2024-01-21,Hosp_B,Atorvastatin,84,15
2024-01-22,Hosp_B,Paracetamol,76,58
2024-01-22,Hosp_B,Ibuprofen,147,10
2024-01-22,Hosp_B,Amoxicillin,198,64
2024-01-22,Hosp_B,Metformin,55,90
2024-01-22,Hosp_B,Atorvastatin,144,14
2024-01-23,Hosp_B,Paracetamol,167,12
2024-01-23,Hosp_B,Ibuprofen,172,59
2024-01-23,Hosp_B,Amoxicillin,61,74
2024-01-23,Hosp_B,Metformin,103,14
2024-01-23,Hosp_B,Atorvastatin,106,26
2024-01-24,Hosp_B,Paracetamol,155,60
2024-01-24,Hosp_B,Ibuprofen,130,14
2024-01-24,Hosp_B,Amoxicillin,78,13
2024-01-24,Hosp_B,Metformin,187,65
2024-01-24,Hosp_B,Atorvastatin,194,83
2024-01-25,Hosp_B,Paracetamol,145,76
2024-01-25,Hosp_B,Ibuprofen,142,41
2024-01-25,Hosp_B,Amoxicillin,110,60
2024-01-25,Hosp_B,Metformin,196,30
2024-01-25,Hosp_B,Atorvastatin,54,91
2024-01-26,Hosp_B,Paracetamol,105,72
2024-01-26,Hosp_B,Ibuprofen,97,70
2024-01-26,Hosp_B,Amoxicillin,130,35
2024-01-26,Hosp_B,Metformin,85,10
2024-01-26,Hosp_B,Atorvastatin,57,61
2024-01-27,Hosp_B,Paracetamol,168,37
2024-01-27,Hosp_B,Ibuprofen,88,66
2024-01-27,Hosp_B,Amoxicillin,66,95
2024-01-27,Hosp_B,Metformin,175,53
2024-01-27,Hosp_B,Atorvastatin,74,26
2024-01-28,Hosp_B,Paracetamol,108,79
2024-01-28,Hosp_B,Ibuprofen,170,42
2024-01-28,Hosp_B,Amoxicillin,199,30
2024-01-28,Hosp_B,Metformin,119,13
2024-01-28,Hosp_B,Atorvastatin,143,84
2024-01-29,Hosp_B,Paracetamol,185,35
2024-01-29,Hosp_B,Ibuprofen,93,14
2024-01-29,Hosp_B,Amoxicillin,119,35
2024-01-29,Hosp_B,Metformin,167,77
2024-01-29,Hosp_B,Atorvastatin,68,93
2024-01-30,Hosp_B,Paracetamol,179,22
2024-01-30,Hosp_B,Ibuprofen,179,93
2024-01-30,Hosp_B,Amoxicillin,114,72
2024-01-30,Hosp_B,Metformin,150,82
2024-01-30,Hosp_B,Atorvastatin,66,18
2024-01-31,Hosp_B,Paracetamol,142,81
2024-01-31,Hosp_B,Ibuprofen,60,23
2024-01-31,Hosp_B,Amoxicillin,109,39
2024-01-31,Hosp_B,Metformin,84,94
2024-01-31,Hosp_B,Atorvastatin,54,92
2024-02-01,Hosp_B,Paracetamol,194,75
2024-02-01,Hosp_B,Ibuprofen,102,60
2024-02-01,Hosp_B,Amoxicillin,88,60
2024-02-01,Hosp_B,Metformin,183,76
2024-02-01,Hosp_B,Atorvastatin,184,60
2024-02-02,Hosp_B,Paracetamol,190,40
2024-02-02,Hosp_B,Ibuprofen,96,97
2024-02-02,Hosp_B,Amoxicillin,64,38
2024-02-02,Hosp_B,Metformin,185,14
2024-02-02,Hosp_B,Atorvastatin,96,77
2024-02-03,Hosp_B,Paracetamol,139,55
2024-02-03,Hosp_B,Ibuprofen,156,21
2024-02-03,Hosp_B,Amoxicillin,190,71
2024-02-03,Hosp_B,Metformin,160,69
2024-02-03,Hosp_B,Atorvastatin,149,77
2024-02-04,Hosp_B,Paracetamol,112,63
2024-02-04,Hosp_B,Ibuprofen,104,49
2024-02-04,Hosp_B,Amoxicillin,192,30
2024-02-04,Hosp_B,Metformin,102,18
2024-02-04,Hosp_B,Atorvastatin,106,35
2024-02-05,Hosp_B,Paracetamol,199,35
2024-02-05,Hosp_B,Ibuprofen,163,94
2024-02-05,Hosp_B,Amoxicillin,98,80
2024-02-05,Hosp_B,Metformin,130,93
2024-02-05,Hosp_B,Atorvastatin,154,58
2024-02-06,Hosp_B,Paracetamol,50,87
2024-02-06,Hosp_B,Ibuprofen,164,56
2024-02-06,Hosp_B,Amoxicillin,162,47
2024-02-06,Hosp_B,Metformin,112,13
2024-02-06,Hosp_B,Atorvastatin,178,17
2024-02-07,Hosp_B,Paracetamol,146,17
2024-02-07,Hosp_B,Ibuprofen,84,97
2024-02-07,Hosp_B,Amoxicillin,127,41
2024-02-07,Hosp_B,Metformin,169,55
2024-02-07,Hosp_B,Atorvastatin,193,77
2024-02-08,Hosp_B,Paracetamol,168,21
2024-02-08,Hosp_B,Ibuprofen,69,14
2024-02-08,Hosp_B,Amoxicillin,86,47
2024-02-08,Hosp_B,Metformin,186,62
2024-02-08,Hosp_B,Atorvastatin,148,95
2024-02-09,Hosp_B,Paracetamol,86,84
2024-02-09,Hosp_B,Ibuprofen,119,27
2024-02-09,Hosp_B,Amoxicillin,177,94
2024-02-09,Hosp_B,Metformin,91,50
2024-02-09,Hosp_B,Atorvastatin,83,26
2024-02-10,Hosp_B,Paracetamol,103,74
2024-02-10,Hosp_B,Ibuprofen,100,62
2024-02-10,Hosp_B,Amoxicillin,85,35
2024-02-10,Hosp_B,Metformin,78,30
2024-02-10,Hosp_B,Atorvastatin,60,49
2024-02-11,Hosp_B,Paracetamol,122,82
2024-02-11,Hosp_B,Ibuprofen,89,26
2024-02-11,Hosp_B,Amoxicillin,178,98
2024-02-11,Hosp_B,Metformin,110,52
2024-02-11,Hosp_B,Atorvastatin,153,51
2024-02-12,Hosp_B,Paracetamol,132,17
2024-02-12,Hosp_B,Ibuprofen,198,90
2024-02-12,Hosp_B,Amoxicillin,167,89
2024-02-12,Hosp_B,Metformin,74,91
2024-02-12,Hosp_B,Atorvastatin,138,21
2024-02-13,Hosp_B,Paracetamol,121,68
2024-02-13,Hosp_B,Ibuprofen,131,48
2024-02-13,Hosp_B,Amoxicillin,195,68
2024-02-13,Hosp_B,Metformin,152,26
2024-02-13,Hosp_B,Atorvastatin,63,40
2024-02-14,Hosp_B,Paracetamol,83,39
2024-02-14,Hosp_B,Ibuprofen,62,22
2024-02-14,Hosp_B,Amoxicillin,67,41
2024-02-14,Hosp_B,Metformin,145,48
2024-02-14,Hosp_B,Atorvastatin,95,38
2024-02-15,Hosp_B,Paracetamol,98,97
2024-02-15,Hosp_B,Ibuprofen,189,68
2024-02-15,Hosp_B,Amoxicillin,86,70
2024-02-15,Hosp_B,Metformin,173,79
2024-02-15,Hosp_B,Atorvastatin,88,65
2024-02-16,Hosp_B,Paracetamol,103,56
2024-02-16,Hosp_B,Ibuprofen,58,29
2024-02-16,Hosp_B,Amoxicillin,171,70
2024-02-16,Hosp_B,Metformin,172,44
2024-02-16,Hosp_B,Atorvastatin,131,71
2024-02-17,Hosp_B,Paracetamol,89,34
2024-02-17,Hosp_B,Ibuprofen,54,20
2024-02-17,Hosp_B,Amoxicillin,173,88
2024-02-17,Hosp_B,Metformin,87,81
2024-02-17,Hosp_B,Atorvastatin,182,57
2024-02-18,Hosp_B,Paracetamol,196,89
2024-02-18,Hosp_B,Ibuprofen,141,68
2024-02-18,Hosp_B,Amoxicillin,108,57
2024-02-18,Hosp_B,Metformin,62,54
2024-02-18,Hosp_B,Atorvastatin,138,62
2024-02-19,Hosp_B,Paracetamol,62,55
2024-02-19,Hosp_B,Ibuprofen,162,26
2024-02-19,Hosp_B,Amoxicillin,153,69
2024-02-19,Hosp_B,Metformin,137,44
2024-02-19,Hosp_B,Atorvastatin,119,92
2024-02-20,Hosp_B,Paracetamol,78,85
2024-02-20,Hosp_B,Ibuprofen,174,85
2024-02-20,Hosp_B,Amoxicillin,56,38
2024-02-20,Hosp_B,Metformin,188,42
2024-02-20,Hosp_B,Atorvastatin,183,88
2024-02-21,Hosp_B,Paracetamol,130,65
2024-02-21,Hosp_B,Ibuprofen,141,30
2024-02-21,Hosp_B,Amoxicillin,96,89
2024-02-21,Hosp_B,Metformin,150,68
2024-02-21,Hosp_B,Atorvastatin,133,15
2024-02-22,Hosp_B,Paracetamol,57,88
2024-02-22,Hosp_B,Ibuprofen,76,55
2024-02-22,Hosp_B,Amoxicillin,99,80
2024-02-22,Hosp_B,Metformin,180,73
2024-02-22,Hosp_B,Atorvastatin,73,69
2024-02-23,Hosp_B,Paracetamol,67,73
2024-02-23,Hosp_B,Ibuprofen,131,47
2024-02-23,Hosp_B,Amoxicillin,81,20
2024-02-23,Hosp_B,Metformin,94,98
2024-02-23,Hosp_B,Atorvastatin,82,50
2024-02-24,Hosp_B,Paracetamol,152,99
2024-02-24,Hosp_B,Ibuprofen,171,24
2024-02-24,Hosp_B,Amoxicillin,155,53
2024-02-24,Hosp_B,Metformin,98,84
2024-02-24,Hosp_B,Atorvastatin,110,76
2024-02-25,Hosp_B,Paracetamol,107,31
2024-02-25,Hosp_B,Ibuprofen,176,12
2024-02-25,Hosp_B,Amoxicillin,176,50
2024-02-25,Hosp_B,Metformin,155,23
2024-02-25,Hosp_B,Atorvastatin,61,96
2024-02-26,Hosp_B,Paracetamol,154,68
2024-02-26,Hosp_B,Ibuprofen,180,37
2024-02-26,Hosp_B,Amoxicillin,84,70
2024-02-26,Hosp_B,Metformin,142,63
2024-02-26,Hosp_B,Atorvastatin,146,16
2024-02-27,Hosp_B,Paracetamol,164,67
2024-02-27,Hosp_B,Ibuprofen,174,21
2024-02-27,Hosp_B,Amoxicillin,180,27
2024-02-27,Hosp_B,Metformin,89,30
2024-02-27,Hosp_B,Atorvastatin,192,35
2024-02-28,Hosp_B,Paracetamol,77,75
2024-02-28,Hosp_B,Ibuprofen,54,74
2024-02-28,Hosp_B,Amoxicillin,94,32
2024-02-28,Hosp_B,Metformin,96,40
2024-02-28,Hosp_B,Atorvastatin,188,19
2024-02-29,Hosp_B,Paracetamol,105,37
2024-02-29,Hosp_B,Ibuprofen,160,88
2024-02-29,Hosp_B,Amoxicillin,183,70
2024-02-29,Hosp_B,Metformin,197,87
2024-02-29,Hosp_B,Atorvastatin,179,82
