date,hospital_id,drug_name,inventory,demand
2024-01-01,Hosp_B_Oncology,Paracetamol,180,5
2024-01-01,Hosp_B_Oncology,Ibuprofen,102,1
2024-01-01,Hosp_B_Oncology,Amoxicillin,137,5
2024-01-01,Hosp_B_Oncology,Metformin,179,163
2024-01-01,Hosp_B_Oncology,Atorvastatin,237,120
2024-01-01,Hosp_B_Oncology,Letrozole,210,175
2024-01-01,Hosp_B_Oncology,Trastuzumab,107,121
2024-01-01,Hosp_B_Oncology,Oseltamivir,285,8
2024-01-01,Hosp_B_Oncology,Cough Syrup,98,9
2024-01-02,Hosp_B_Oncology,Paracetamol,130,3
2024-01-02,Hosp_B_Oncology,Ibuprofen,99,7
2024-01-02,Hosp_B_Oncology,Amoxicillin,181,1
2024-01-02,Hosp_B_Oncology,Metformin,183,153
2024-01-02,Hosp_B_Oncology,Atorvastatin,155,103
2024-01-02,Hosp_B_Oncology,Letrozole,103,192
2024-01-02,Hosp_B_Oncology,Trastuzumab,240,117
2024-01-02,Hosp_B_Oncology,Oseltamivir,267,1
2024-01-02,Hosp_B_Oncology,Cough Syrup,251,3
2024-01-03,Hosp_B_Oncology,Paracetamol,299,8
2024-01-03,Hosp_B_Oncology,Ibuprofen,77,6
2024-01-03,Hosp_B_Oncology,Amoxicillin,250,7
2024-01-03,Hosp_B_Oncology,Metformin,61,133
2024-01-03,Hosp_B_Oncology,Atorvastatin,82,147
2024-01-03,Hosp_B_Oncology,Letrozole,296,122
2024-01-03,Hosp_B_Oncology,Trastuzumab,111,187
2024-01-03,Hosp_B_Oncology,Oseltamivir,86,2
2024-01-03,Hosp_B_Oncology,Cough Syrup,221,7
2024-01-04,Hosp_B_Oncology,Paracetamol,115,9
2024-01-04,Hosp_B_Oncology,Ibuprofen,94,8
2024-01-04,Hosp_B_Oncology,Amoxicillin,294,5
2024-01-04,Hosp_B_Oncology,Metformin,77,127
2024-01-04,Hosp_B_Oncology,Atorvastatin,157,143
2024-01-04,Hosp_B_Oncology,Letrozole,133,129
2024-01-04,Hosp_B_Oncology,Trastuzumab,239,174
2024-01-04,Hosp_B_Oncology,Oseltamivir,177,9
2024-01-04,Hosp_B_Oncology,Cough Syrup,296,8
2024-01-05,Hosp_B_Oncology,Paracetamol,51,1
2024-01-05,Hosp_B_Oncology,Ibuprofen,269,5
2024-01-05,Hosp_B_Oncology,Amoxicillin,136,4
2024-01-05,Hosp_B_Oncology,Metformin,273,196
2024-01-05,Hosp_B_Oncology,Atorvastatin,178,118
2024-01-05,Hosp_B_Oncology,Letrozole,175,101
2024-01-05,Hosp_B_Oncology,Trastuzumab,102,143
2024-01-05,Hosp_B_Oncology,Oseltamivir,267,5
2024-01-05,Hosp_B_Oncology,Cough Syrup,209,6
2024-01-06,Hosp_B_Oncology,Paracetamol,178,8
2024-01-06,Hosp_B_Oncology,Ibuprofen,266,1
2024-01-06,Hosp_B_Oncology,Amoxicillin,200,9
2024-01-06,Hosp_B_Oncology,Metformin,148,106
2024-01-06,Hosp_B_Oncology,Atorvastatin,193,189
2024-01-06,Hosp_B_Oncology,Letrozole,161,159
2024-01-06,Hosp_B_Oncology,Trastuzumab,162,101
2024-01-06,Hosp_B_Oncology,Oseltamivir,178,4
2024-01-06,Hosp_B_Oncology,Cough Syrup,86,6
2024-01-07,Hosp_B_Oncology,Paracetamol,297,7
2024-01-07,Hosp_B_Oncology,Ibuprofen,184,2
2024-01-07,Hosp_B_Oncology,Amoxicillin,194,0
2024-01-07,Hosp_B_Oncology,Metformin,225,175
2024-01-07,Hosp_B_Oncology,Atorvastatin,236,185
2024-01-07,Hosp_B_Oncology,Letrozole,168,121
2024-01-07,Hosp_B_Oncology,Trastuzumab,287,129
2024-01-07,Hosp_B_Oncology,Oseltamivir,87,5
2024-01-07,Hosp_B_Oncology,Cough Syrup,158,2
2024-01-08,Hosp_B_Oncology,Paracetamol,210,2
2024-01-08,Hosp_B_Oncology,Ibuprofen,177,1
2024-01-08,Hosp_B_Oncology,Amoxicillin,74,9
2024-01-08,Hosp_B_Oncology,Metformin,272,153
2024-01-08,Hosp_B_Oncology,Atorvastatin,107,166
2024-01-08,Hosp_B_Oncology,Letrozole,153,145
2024-01-08,Hosp_B_Oncology,Trastuzumab,73,131
2024-01-08,Hosp_B_Oncology,Oseltamivir,224,5
2024-01-08,Hosp_B_Oncology,Cough Syrup,200,1
2024-01-09,Hosp_B_Oncology,Paracetamol,240,5
2024-01-09,Hosp_B_Oncology,Ibuprofen,100,8
2024-01-09,Hosp_B_Oncology,Amoxicillin,235,5
2024-01-09,Hosp_B_Oncology,Metformin,107,157
2024-01-09,Hosp_B_Oncology,Atorvastatin,135,148
2024-01-09,Hosp_B_Oncology,Letrozole,229,141
2024-01-09,Hosp_B_Oncology,Trastuzumab,119,114
2024-01-09,Hosp_B_Oncology,Oseltamivir,103,4
2024-01-09,Hosp_B_Oncology,Cough Syrup,274,7
2024-01-10,Hosp_B_Oncology,Paracetamol,171,0
2024-01-10,Hosp_B_Oncology,Ibuprofen,288,1
2024-01-10,Hosp_B_Oncology,Amoxicillin,145,5
2024-01-10,Hosp_B_Oncology,Metformin,97,188
2024-01-10,Hosp_B_Oncology,Atorvastatin,281,100
2024-01-10,Hosp_B_Oncology,Letrozole,65,160
2024-01-10,Hosp_B_Oncology,Trastuzumab,280,163
2024-01-10,Hosp_B_Oncology,Oseltamivir,240,4
2024-01-10,Hosp_B_Oncology,Cough Syrup,71,6
2024-01-11,Hosp_B_Oncology,Paracetamol,299,2
2024-01-11,Hosp_B_Oncology,Ibuprofen,235,0
2024-01-11,Hosp_B_Oncology,Amoxicillin,297,4
2024-01-11,Hosp_B_Oncology,Metformin,286,103
2024-01-11,Hosp_B_Oncology,Atorvastatin,65,123
2024-01-11,Hosp_B_Oncology,Letrozole,129,101
2024-01-11,Hosp_B_Oncology,Trastuzumab,290,191
2024-01-11,Hosp_B_Oncology,Oseltamivir,177,3
2024-01-11,Hosp_B_Oncology,Cough Syrup,201,1
2024-01-12,Hosp_B_Oncology,Paracetamol,286,7
2024-01-12,Hosp_B_Oncology,Ibuprofen,213,8
2024-01-12,Hosp_B_Oncology,Amoxicillin,70,8
2024-01-12,Hosp_B_Oncology,Metformin,213,109
2024-01-12,Hosp_B_Oncology,Atorvastatin,150,172
2024-01-12,Hosp_B_Oncology,Letrozole,201,163
2024-01-12,Hosp_B_Oncology,Trastuzumab,276,148
2024-01-12,Hosp_B_Oncology,Oseltamivir,148,3
2024-01-12,Hosp_B_Oncology,Cough Syrup,259,0
2024-01-13,Hosp_B_Oncology,Paracetamol,189,8
2024-01-13,Hosp_B_Oncology,Ibuprofen,229,4
2024-01-13,Hosp_B_Oncology,Amoxicillin,277,4
2024-01-13,Hosp_B_Oncology,Metformin,200,115
2024-01-13,Hosp_B_Oncology,Atorvastatin,106,138
2024-01-13,Hosp_B_Oncology,Letrozole,158,152
2024-01-13,Hosp_B_Oncology,Trastuzumab,91,157
2024-01-13,Hosp_B_Oncology,Oseltamivir,216,9
2024-01-13,Hosp_B_Oncology,Cough Syrup,182,2
2024-01-14,Hosp_B_Oncology,Paracetamol,85,5
2024-01-14,Hosp_B_Oncology,Ibuprofen,208,2
2024-01-14,Hosp_B_Oncology,Amoxicillin,238,5
2024-01-14,Hosp_B_Oncology,Metformin,216,190
2024-01-14,Hosp_B_Oncology,Atorvastatin,251,189
2024-01-14,Hosp_B_Oncology,Letrozole,68,138
2024-01-14,Hosp_B_Oncology,Trastuzumab,175,166
2024-01-14,Hosp_B_Oncology,Oseltamivir,222,1
2024-01-14,Hosp_B_Oncology,Cough Syrup,269,9
2024-01-15,Hosp_B_Oncology,Paracetamol,195,8
2024-01-15,Hosp_B_Oncology,Ibuprofen,98,0
2024-01-15,Hosp_B_Oncology,Amoxicillin,166,5
2024-01-15,Hosp_B_Oncology,Metformin,167,102
2024-01-15,Hosp_B_Oncology,Atorvastatin,193,186
2024-01-15,Hosp_B_Oncology,Letrozole,234,174
2024-01-15,Hosp_B_Oncology,Trastuzumab,61,173
2024-01-15,Hosp_B_Oncology,Oseltamivir,273,7
2024-01-15,Hosp_B_Oncology,Cough Syrup,151,7
