date,hospital_id,drug_name,inventory,demand
2024-01-01,Hosp_C_Community,Paracetamol,269,25
2024-01-01,Hosp_C_Community,Ibuprofen,64,24
2024-01-01,Hosp_C_Community,Amoxicillin,239,28
2024-01-01,Hosp_C_Community,Metformin,157,3
2024-01-01,Hosp_C_Community,Atorvastatin,113,0
2024-01-01,Hosp_C_Community,Letrozole,180,4
2024-01-01,Hosp_C_Community,Trastuzumab,100,4
2024-01-01,Hosp_C_Community,Oseltamivir,122,78
2024-01-01,Hosp_C_Community,Cough Syrup,67,43
2024-01-02,Hosp_C_Community,Paracetamol,63,25
2024-01-02,Hosp_C_Community,Ibuprofen,64,17
2024-01-02,Hosp_C_Community,Amoxicillin,255,17
2024-01-02,Hosp_C_Community,Metformin,262,4
2024-01-02,Hosp_C_Community,Atorvastatin,131,4
2024-01-02,Hosp_C_Community,Letrozole,73,1
2024-01-02,Hosp_C_Community,Trastuzumab,266,3
2024-01-02,Hosp_C_Community,Oseltamivir,237,68
2024-01-02,Hosp_C_Community,Cough Syrup,64,40
2024-01-03,Hosp_C_Community,Paracetamol,263,12
2024-01-03,Hosp_C_Community,Ibuprofen,242,12
2024-01-03,Hosp_C_Community,Amoxicillin,150,24
2024-01-03,Hosp_C_Community,Metformin,255,2
2024-01-03,Hosp_C_Community,Atorvastatin,50,4
2024-01-03,Hosp_C_Community,Letrozole,267,2
2024-01-03,Hosp_C_Community,Trastuzumab,186,1
2024-01-03,Hosp_C_Community,Oseltamivir,91,52
2024-01-03,Hosp_C_Community,Cough Syrup,228,71
2024-01-04,Hosp_C_Community,Paracetamol,280,10
2024-01-04,Hosp_C_Community,Ibuprofen,178,29
2024-01-04,Hosp_C_Community,Amoxicillin,254,18
2024-01-04,Hosp_C_Community,Metformin,52,2
2024-01-04,Hosp_C_Community,Atorvastatin,186,4
2024-01-04,Hosp_C_Community,Letrozole,274,2
2024-01-04,Hosp_C_Community,Trastuzumab,283,3
2024-01-04,Hosp_C_Community,Oseltamivir,201,54
2024-01-04,Hosp_C_Community,Cough Syrup,108,71
2024-01-05,Hosp_C_Community,Paracetamol,117,20
2024-01-05,Hosp_C_Community,Ibuprofen,233,26
